age,sex,strata,mortality per 1 rate,pYLD rate,APC in all-cause mortality,expenditure_rate,expenditure_rate_death,income,income_death
80,female,non-maori,0.048439092,0.046539009,0.001413,3730.803517,14675.3231,0,0
81,female,non-maori,0.048439092,0.046539009,0.001413,3730.803517,14675.3231,0,0
82,female,non-maori,0.048439092,0.046539009,0.001413,3730.803517,14675.3231,0,0
83,female,non-maori,0.048439092,0.046539009,0.001413,3730.803517,14675.3231,0,0
84,female,non-maori,0.048439092,0.046539009,0.001413,3730.803517,14675.3231,0,0
85,female,non-maori,0.095709273,0.088546438,0.000775,3895.175665,11124.8847,0,0
86,female,non-maori,0.095709273,0.088546438,0.000775,3895.175665,11124.8847,0,0
87,female,non-maori,0.095709273,0.088546438,0.000775,3895.175665,11124.8847,0,0
88,female,non-maori,0.095709273,0.088546438,0.000775,3895.175665,11124.8847,0,0
89,female,non-maori,0.095709273,0.088546438,0.000775,3895.175665,11124.8847,0,0
90,female,non-maori,0.168428151,0.1583553,0.0014101,3774.339924,8366.986597,0,0
91,female,non-maori,0.168428151,0.1583553,0.0014101,3774.339924,8366.986597,0,0
92,female,non-maori,0.168428151,0.1583553,0.0014101,3774.339924,8366.986597,0,0
93,female,non-maori,0.168428151,0.1583553,0.0014101,3774.339924,8366.986597,0,0
94,female,non-maori,0.168428151,0.1583553,0.0014101,3774.339924,8366.986597,0,0
95,female,non-maori,0.297482927,0.28657884,0.0040321,3240.352567,5288.340684,0,0
96,female,non-maori,0.297482927,0.28657884,0.0040321,3240.352567,5288.340684,0,0
97,female,non-maori,0.297482927,0.28657884,0.0040321,3240.352567,5288.340684,0,0
98,female,non-maori,0.297482927,0.28657884,0.0040321,3240.352567,5288.340684,0,0
99,female,non-maori,0.297482927,0.28657884,0.0040321,3240.352567,5288.340684,0,0
100,female,non-maori,0.297482927,0.28657884,0.0040321,3240.352567,5288.340684,0,0
101,female,non-maori,0.297482927,0.28657884,0.0040321,3240.352567,5288.340684,0,0
102,female,non-maori,0.297482927,0.28657884,0.0040321,3240.352567,5288.340684,0,0
103,female,non-maori,0.297482927,0.28657884,0.0040321,3240.352567,5288.340684,0,0
104,female,non-maori,0.297482927,0.28657884,0.0040321,3240.352567,5288.340684,0,0
105,female,non-maori,0.297482927,0.28657884,0.0040321,3240.352567,5288.340684,0,0
106,female,non-maori,0.297482927,0.28657884,0.0040321,3240.352567,5288.340684,0,0
107,female,non-maori,0.297482927,0.28657884,0.0040321,3240.352567,5288.340684,0,0
108,female,non-maori,0.297482927,0.28657884,0.0040321,3240.352567,5288.340684,0,0
109,female,non-maori,0.297482927,0.28657884,0.0040321,3240.352567,5288.340684,0,0
110,female,non-maori,0.297482927,0.28657884,0.0040321,3240.352567,5288.340684,0,0
0,male,non-maori,0.000222654,0.000148489,-0.0274206,5247.469772,53538.22994,0,0
1,male,non-maori,0.000222654,0.000148489,-0.0274206,5247.469772,53538.22994,0,0
2,male,non-maori,0.000222654,0.000148489,-0.0274206,5247.469772,53538.22994,0,0
3,male,non-maori,0.000222654,0.000148489,-0.0274206,5247.469772,53538.22994,0,0
4,male,non-maori,0.000222654,0.000148489,-0.0274206,5247.469772,53538.22994,0,0
5,male,non-maori,8.39E-05,9.41E-05,-0.0146286,520.6598859,20927.68422,0,0
6,male,non-maori,8.39E-05,9.41E-05,-0.0146286,520.6598859,20927.68422,0,0
7,male,non-maori,8.39E-05,9.41E-05,-0.0146286,520.6598859,20927.68422,0,0
8,male,non-maori,8.39E-05,9.41E-05,-0.0146286,520.6598859,20927.68422,0,0
9,male,non-maori,8.39E-05,9.41E-05,-0.0146286,520.6598859,20927.68422,0,0
10,male,non-maori,0.00022319,0.000139762,-0.014068,500.2244297,33972.61331,0,0
11,male,non-maori,0.00022319,0.000139762,-0.014068,500.2244297,33972.61331,0,0
12,male,non-maori,0.00022319,0.000139762,-0.014068,500.2244297,33972.61331,0,0
13,male,non-maori,0.00022319,0.000139762,-0.014068,500.2244297,33972.61331,0,0
14,male,non-maori,0.00022319,0.000139762,-0.014068,500.2244297,33972.61331,0,0
15,male,non-maori,0.00057487,0.000430641,-0.0108034,530.433365,14359.01778,0,0
16,male,non-maori,0.00057487,0.000430641,-0.0108034,530.433365,14359.01778,0,0
17,male,non-maori,0.00057487,0.000430641,-0.0108034,530.433365,14359.01778,0,0
18,male,non-maori,0.00057487,0.000430641,-0.0108034,530.433365,14359.01778,0,0
19,male,non-maori,0.00057487,0.000430641,-0.0108034,530.433365,14359.01778,0,0
20,male,non-maori,0.000873811,0.00073948,-0.0042936,554.4228137,7566.44981,0,0
21,male,non-maori,0.000873811,0.00073948,-0.0042936,554.4228137,7566.44981,0,0
22,male,non-maori,0.000873811,0.00073948,-0.0042936,554.4228137,7566.44981,0,0
23,male,non-maori,0.000873811,0.00073948,-0.0042936,554.4228137,7566.44981,0,0
24,male,non-maori,0.000873811,0.00073948,-0.0042936,554.4228137,7566.44981,0,0
25,male,non-maori,0.000664627,0.000663268,-0.0045355,565.0847909,15350.58165,35354.24715,10145.55798
26,male,non-maori,0.000664627,0.000663268,-0.0045355,565.0847909,15350.58165,35354.24715,10145.55798
27,male,non-maori,0.000664627,0.000663268,-0.0045355,565.0847909,15350.58165,35354.24715,10145.55798
28,male,non-maori,0.000664627,0.000663268,-0.0045355,565.0847909,15350.58165,35354.24715,10145.55798
29,male,non-maori,0.000664627,0.000663268,-0.0045355,565.0847909,15350.58165,35354.24715,10145.55798
30,male,non-maori,0.000709914,0.000707572,-0.0035988,616.6176806,18883.2501,43727.67205,12189.6616
31,male,non-maori,0.000709914,0.000707572,-0.0035988,616.6176806,18883.2501,43727.67205,12189.6616
32,male,non-maori,0.000709914,0.000707572,-0.0035988,616.6176806,18883.2501,43727.67205,12189.6616
33,male,non-maori,0.000709914,0.000707572,-0.0035988,616.6176806,18883.2501,43727.67205,12189.6616
34,male,non-maori,0.000709914,0.000707572,-0.0035988,616.6176806,18883.2501,43727.67205,12189.6616
35,male,non-maori,0.000885018,0.000798878,-0.0060068,678.8125475,15135.56511,48749.03612,12325.16635
36,male,non-maori,0.000885018,0.000798878,-0.0060068,678.8125475,15135.56511,48749.03612,12325.16635
37,male,non-maori,0.000885018,0.000798878,-0.0060068,678.8125475,15135.56511,48749.03612,12325.16635
38,male,non-maori,0.000885018,0.000798878,-0.0060068,678.8125475,15135.56511,48749.03612,12325.16635
39,male,non-maori,0.000885018,0.000798878,-0.0060068,678.8125475,15135.56511,48749.03612,12325.16635
40,male,non-maori,0.001361234,0.001217047,-0.0056557,820.0837452,23751.33118,49882.0865,12571.18916
41,male,non-maori,0.001361234,0.001217047,-0.0056557,820.0837452,23751.33118,49882.0865,12571.18916
42,male,non-maori,0.001361234,0.001217047,-0.0056557,820.0837452,23751.33118,49882.0865,12571.18916
43,male,non-maori,0.001361234,0.001217047,-0.0056557,820.0837452,23751.33118,49882.0865,12571.18916
44,male,non-maori,0.001361234,0.001217047,-0.0056557,820.0837452,23751.33118,49882.0865,12571.18916
45,male,non-maori,0.002046417,0.001889611,-0.0030747,997.783365,24857.51131,48599.11597,12105.09125
46,male,non-maori,0.002046417,0.001889611,-0.0030747,997.783365,24857.51131,48599.11597,12105.09125
47,male,non-maori,0.002046417,0.001889611,-0.0030747,997.783365,24857.51131,48599.11597,12105.09125
48,male,non-maori,0.002046417,0.001889611,-0.0030747,997.783365,24857.51131,48599.11597,12105.09125
49,male,non-maori,0.002046417,0.001889611,-0.0030747,997.783365,24857.51131,48599.11597,12105.09125
50,male,non-maori,0.00294778,0.002771182,-0.002397,1259.890304,26015.22433,45902.47529,11970.54753
51,male,non-maori,0.00294778,0.002771182,-0.002397,1259.890304,26015.22433,45902.47529,11970.54753
52,male,non-maori,0.00294778,0.002771182,-0.002397,1259.890304,26015.22433,45902.47529,11970.54753
53,male,non-maori,0.00294778,0.002771182,-0.002397,1259.890304,26015.22433,45902.47529,11970.54753
54,male,non-maori,0.00294778,0.002771182,-0.002397,1259.890304,26015.22433,45902.47529,11970.54753
55,male,non-maori,0.00486568,0.004552177,0.0012925,1574.418631,29207.598,41533.64829,10847.10741
56,male,non-maori,0.00486568,0.004552177,0.0012925,1574.418631,29207.598,41533.64829,10847.10741
57,male,non-maori,0.00486568,0.004552177,0.0012925,1574.418631,29207.598,41533.64829,10847.10741
58,male,non-maori,0.00486568,0.004552177,0.0012925,1574.418631,29207.598,41533.64829,10847.10741
59,male,non-maori,0.00486568,0.004552177,0.0012925,1574.418631,29207.598,41533.64829,10847.10741
60,male,non-maori,0.007237227,0.007053302,-0.0035772,1987.570247,26925.93489,34094.34125,9008.663498
61,male,non-maori,0.007237227,0.007053302,-0.0035772,1987.570247,26925.93489,34094.34125,9008.663498
62,male,non-maori,0.007237227,0.007053302,-0.0035772,1987.570247,26925.93489,34094.34125,9008.663498
63,male,non-maori,0.007237227,0.007053302,-0.0035772,1987.570247,26925.93489,34094.34125,9008.663498
64,male,non-maori,0.007237227,0.007053302,-0.0035772,1987.570247,26925.93489,34094.34125,9008.663498
65,male,non-maori,0.012926443,0.011965929,-0.0016543,2722.358175,25369.28622,0,0
66,male,non-maori,0.012926443,0.011965929,-0.0016543,2722.358175,25369.28622,0,0
67,male,non-maori,0.012926443,0.011965929,-0.0016543,2722.358175,25369.28622,0,0
68,male,non-maori,0.012926443,0.011965929,-0.0016543,2722.358175,25369.28622,0,0
