year_start,year_end,agecategory,sex,strata,cscv,qsqv_1,qscv_1
3,4,95,female,maori,0.0555216446390719,0.0424729510110589,0.0424729510110589
3,4,100,female,maori,0.0666887749573095,0.0436426684788521,0.0436426684788521
3,4,105,female,maori,0.0666887749573095,0.0436426684788521,0.0436426684788521
3,4,0,female,non-maori,0.0226,0.0113,0.0113
3,4,5,female,non-maori,0.0226,0.0113,0.0113
3,4,10,female,non-maori,0.0226,0.0113,0.0113
3,4,15,female,non-maori,0.0226,0.0113,0.0113
3,4,20,female,non-maori,0.0226,0.0113,0.0113
3,4,25,female,non-maori,0.0226,0.0113,0.0113
3,4,30,female,non-maori,0.0226,0.0113,0.0113
3,4,35,female,non-maori,0.0226,0.0113,0.0113
3,4,40,female,non-maori,0.0226,0.0113,0.0113
3,4,45,female,non-maori,0.0530908012084936,0.0142924746364023,0.0142924746364023
3,4,50,female,non-maori,0.0541629575912459,0.0147247865085123,0.0147247865085123
3,4,55,female,non-maori,0.0563726634591957,0.0156710784657354,0.0156710784657354
3,4,60,female,non-maori,0.058672519500622,0.0167319354590416,0.0167319354590416
3,4,65,female,non-maori,0.0288263116648399,0.0220726761641778,0.0220726761641778
3,4,70,female,non-maori,0.0312657516496195,0.0228308384287889,0.0228308384287889
3,4,75,female,non-maori,0.0398940623404986,0.0252440664101639,0.0252440664101639
3,4,80,female,non-maori,0.0469318694644947,0.026979053800752006,0.026979053800752006
3,4,85,female,non-maori,0.0598835091877755,0.029822304434095,0.029822304434095
3,4,90,female,non-maori,0.0863110349715559,0.0345565285669111,0.0345565285669111
3,4,95,female,non-maori,0.0863110349715559,0.0345565285669111,0.0345565285669111
3,4,100,female,non-maori,0.6850166432812861,0.0241031128699157,0.0241031128699157
3,4,105,female,non-maori,0.6850166432812861,0.0241031128699157,0.0241031128699157
3,4,0,male,maori,0.0218,0.0134,0.0196
3,4,5,male,maori,0.0218,0.0134,0.0196
3,4,10,male,maori,0.0218,0.0134,0.0196
3,4,15,male,maori,0.0218,0.0134,0.0196
3,4,20,male,maori,0.0218,0.0134,0.0196
3,4,25,male,maori,0.0218,0.0134,0.0196
3,4,30,male,maori,0.0218,0.0134,0.0196
3,4,35,male,maori,0.0225,0.0133,0.0194
3,4,40,male,maori,0.0231,0.0132,0.0192
3,4,45,male,maori,0.0526659304088717,0.0192909256043014,0.0192909256043014
3,4,50,male,maori,0.0536886633396809,0.019468305023544,0.019468305023544
3,4,55,male,maori,0.0551686431489804,0.0196734840673744,0.0196734840673744
3,4,60,male,maori,0.0561158448927869,0.0197996792263304,0.0197996792263304
3,4,65,male,maori,0.0201,0.0272,0.0272
3,4,70,male,maori,0.0241,0.0275,0.0275
3,4,75,male,maori,0.0288,0.0276,0.0276
3,4,80,male,maori,0.0354,0.0272,0.0272
3,4,85,male,maori,0.0414,0.0266,0.0266
3,4,90,male,maori,0.0516,0.0252,0.0252
3,4,95,male,maori,0.0611,0.0235,0.0235
3,4,100,male,maori,0.078,0.0217,0.0217
3,4,105,male,maori,0.078,0.0217,0.0217
3,4,0,male,non-maori,0.0243,0.0111,0.0111
3,4,5,male,non-maori,0.0243,0.0111,0.0111
3,4,10,male,non-maori,0.0243,0.0111,0.0111
3,4,15,male,non-maori,0.0243,0.0111,0.0111
3,4,20,male,non-maori,0.0243,0.0111,0.0111
3,4,25,male,non-maori,0.0251,0.0109,0.0109
3,4,30,male,non-maori,0.0243,0.0111,0.0111
3,4,35,male,non-maori,0.0243,0.0111,0.0111
3,4,40,male,non-maori,0.0268,0.0106,0.0106
3,4,45,male,non-maori,0.033,0.0117,0.0117
3,4,50,male,non-maori,0.0351,0.0121,0.0121
3,4,55,male,non-maori,0.0357,0.0122,0.0122
3,4,60,male,non-maori,0.0383,0.0129,0.0129
3,4,65,male,non-maori,0.0605,0.0149,0.0149
3,4,70,male,non-maori,0.0665,0.0155,0.0155
3,4,75,male,non-maori,0.0714,0.016,0.016
3,4,80,male,non-maori,0.0864,0.0174,0.0174
3,4,85,male,non-maori,0.0996,0.0186,0.0186
3,4,90,male,non-maori,0.0996,0.0186,0.0186
3,4,95,male,non-maori,0.1233,0.0204,0.0204
3,4,100,male,non-maori,0.1233,0.0204,0.0204
3,4,105,male,non-maori,0.1233,0.0204,0.0204
4,5,0,female,maori,0.0079,0.0089,0.0129
4,5,5,female,maori,0.0079,0.0089,0.0129
4,5,10,female,maori,0.0079,0.0089,0.0129
4,5,15,female,maori,0.0079,0.0089,0.0129
4,5,20,female,maori,0.0079,0.0089,0.0129
4,5,25,female,maori,0.0079,0.0089,0.0129
4,5,30,female,maori,0.0079,0.0089,0.0129
4,5,35,female,maori,0.0079,0.0089,0.0129
4,5,40,female,maori,0.0079,0.0089,0.013000000000000001
4,5,45,female,maori,0.0474219659197987,0.016675284418906,0.016675284418906
4,5,50,female,maori,0.0465925060911898,0.0174808467838328,0.0174808467838328
4,5,55,female,maori,0.0449768570339711,0.0192048691216781,0.0192048691216781
4,5,60,female,maori,0.0434172324771512,0.0210807779047985,0.0210807779047985
4,5,65,female,maori,0.0246598524035342,0.0271376379862121,0.0271376379862121
4,5,70,female,maori,0.0273823496348209,0.0292468584622761,0.0292468584622761
4,5,75,female,maori,0.0320398939122969,0.0323454021981844,0.0323454021981844
4,5,80,female,maori,0.0365208912698771,0.0348508282729331,0.0348508282729331
4,5,85,female,maori,0.042732836936002,0.0377642096100463,0.0377642096100463
4,5,90,female,maori,0.0500013906863527,0.0406042398611168,0.0406042398611168
4,5,95,female,maori,0.0569944256868491,0.0429492970665313,0.0429492970665313
4,5,100,female,maori,0.0684577781000494,0.043767947144459,0.043767947144459
4,5,105,female,maori,0.0684577781000494,0.043767947144459,0.043767947144459
4,5,0,female,non-maori,0.0227,0.0111,0.0111
4,5,5,female,non-maori,0.0227,0.0111,0.0111
4,5,10,female,non-maori,0.0227,0.0111,0.0111
4,5,15,female,non-maori,0.0227,0.0111,0.0111
4,5,20,female,non-maori,0.0227,0.0111,0.0111
4,5,25,female,non-maori,0.0227,0.0111,0.0111
